0;public;java;
1;return;java;
2;final;java;
3;import;java;
4;static;java;
5;new;java;
6;extends;java;
7;int;java;
8;throws;java;
9;void;java;
10;if;java;
11;this;java;
12;private;java;
13;class;java;
14;case;java;
15;else;java;
16;package;java;
17;boolean;java;
18;throw;java;
19;for;java;
20;long;java;
21;true;java;
22;byte;java;
23;interface;java;
24;false;java;
25;protected;java;
26;super;java;
27;break;java;
28;try;java;
29;switch;java;
30;implements;java;
31;catch;java;
32;default;java;
33;print_r;PHP;
34;echo;PHP;
35;class;PHP;
36;namespace;PHP;
37;function;PHP;
38;$varname;PHP;
39;var_dump;PHP;
40;$_POST['var'];PHP;
41;$_GET['var'];PHP;
42;strval;PHP;
43;floor;PHP;
44;extends;PHP;
45;use;PHP;
46;require;PHP;
47;require_once;PHP;
48;print_r;PHP;
49;print_r;PHP;
50;include;PHP;
51;include_once;PHP;
52;__construct;PHP;
53;__invoke;PHP;
54;public;PHP;
55;private;PHP;
56;protected;PHP;
57;$_SESSION['var'];PHP;
58;return;PHP;
59;foreach;PHP;
60;new;PHP;
61;array_pop;PHP;
62;array_push;PHP;
63;mysql_connect;PHP;